iter	Passed	Remaining
197	741	3001
198	742	2989
199	744	2977
200	746	2965
201	747	2952
202	748	2938
203	750	2928
204	752	2917
205	754	2906
206	755	2894
207	757	2884
208	759	2875
209	761	2865
210	764	2857
211	766	2847
212	768	2838
213	770	2830
214	773	2822
215	775	2814
216	777	2806
217	780	2798
218	782	2789
219	784	2781
220	786	2771
221	787	2761
222	790	2753
223	791	2742
224	792	2730
225	794	2722
226	796	2712
227	798	2703
228	806	2713
229	807	2704
230	809	2693
231	810	2684
232	812	2674
233	814	2666
234	816	2658
235	818	2649
236	820	2640
237	822	2631
238	823	2623
239	825	2613
240	827	2604
241	828	2595
242	830	2587
243	832	2578
244	834	2570
245	836	2562
246	838	2554
247	840	2547
248	842	2540
249	845	2535
250	847	2528
251	849	2522
252	852	2516
253	854	2510
254	857	2504
255	859	2497
256	861	2491
257	864	2485
258	866	2480
259	869	2474
260	871	2468
261	874	2462
262	876	2456
263	879	2451
264	881	2443
265	883	2437
266	885	2431
267	887	2424
268	890	2419
269	892	2414
270	895	2407
271	897	2401
272	899	2395
273	901	2388
274	903	2382
275	905	2376
276	907	2369
277	910	2363
278	912	2357
279	914	2351
280	916	2344
281	918	2338
282	921	2333
283	923	2328
284	925	2322
285	928	2317
286	930	2312
287	934	2311
288	937	2306
289	939	2301
290	942	2295
291	944	2291
292	947	2286
293	950	2281
294	953	2278
295	955	2273
296	958	2267
297	960	2262
298	962	2257
299	965	2252
300	967	2247
301	970	2241
302	972	2236
303	974	2231
304	977	2226
305	979	2221
306	981	2216
307	984	2211
308	986	2205
309	988	2201
310	991	2195
311	993	2191
312	995	2185
313	998	2180
314	1000	2175
315	1002	2170
316	1005	2165
317	1007	2161
318	1009	2156
319	1012	2150
320	1014	2145
321	1016	2141
322	1019	2136
323	1022	2133
324	1025	2128
325	1026	2122
326	1028	2116
327	1029	2109
328	1031	2103
329	1032	2097
330	1034	2090
331	1035	2083
332	1037	2077
333	1038	2071
334	1040	2065
335	1042	2059
336	1043	2052
337	1045	2046
338	1046	2040
339	1048	2034
340	1051	2031
341	1052	2024
342	1053	2018
343	1055	2012
344	1056	2006
345	1058	2000
346	1060	1995
347	1063	1991
348	1066	1989
349	1069	1985
350	1071	1981
351	1073	1976
352	1076	1972
353	1078	1968
354	1081	1965
355	1083	1960
356	1085	1954
357	1086	1948
358	1087	1942
359	1089	1936
360	1090	1930
361	1092	1925
362	1094	1921
363	1096	1915
364	1098	1910
365	1099	1904
366	1100	1898
367	1103	1894
368	1105	1890
369	1107	1885
370	1109	1881
371	1111	1876
372	1113	1872
373	1115	1867
374	1117	1862
375	1119	1858
376	1121	1853
377	1124	1849
378	1126	1845
379	1128	1840
380	1130	1836
381	1132	1832
382	1135	1828
383	1137	1824
384	1139	1819
385	1141	1815
386	1143	1811
387	1145	1806
388	1147	1802
389	1149	1798
390	1151	1793
391	1153	1789
392	1155	1784
393	1157	1780
394	1159	1775
395	1161	1771
396	1163	1767
397	1165	1763
398	1167	1759
399	1170	1755
400	1172	1751
401	1174	1747
402	1176	1742
403	1178	1738
404	1180	1734
405	1182	1730
406	1184	1726
407	1186	1722
408	1189	1718
409	1191	1714
410	1193	1710
411	1195	1706
412	1197	1702
413	1199	1697
414	1201	1693
415	1203	1689
416	1206	1686
417	1208	1682
418	1211	1679
419	1213	1675
420	1215	1672
421	1218	1668
422	1220	1664
423	1222	1660
424	1224	1656
425	1226	1652
426	1228	1649
427	1231	1645
428	1233	1641
429	1235	1637
430	1237	1633
431	1239	1629
432	1242	1626
433	1244	1623
434	1247	1620
435	1249	1616
436	1251	1612
